municipio,regiao_estimada,votos_parceiro,locais_votacao,secoes_com_voto,percentual_votos_parceiro,forca_reduto,ranking_regiao_parceiro
MACEIÓ,QD 26,6,1,4,0.0205,BAIXA PRESENÇA,208
PENEDO,127 (PRACA SANTA LUZIA),6,1,4,0.0205,BAIXA PRESENÇA,209
PENEDO,NÃO INFORMADO,6,3,4,0.0205,BAIXA PRESENÇA,210
PINDOBA,NÃO INFORMADO,6,2,4,0.0205,BAIXA PRESENÇA,211
PORTO REAL DO COLÉGIO,866,6,1,3,0.0205,BAIXA PRESENÇA,212
SÃO JOSÉ DA LAJE,VARZEA BONITA,6,1,4,0.0205,BAIXA PRESENÇA,213
TRAIPU,HABITACIONAL ANTONIO MEDEIROS NETO,6,1,5,0.0205,BAIXA PRESENÇA,214
ARAPIRACA,BATINGAS,5,1,5,0.017,BAIXA PRESENÇA,215
ATALAIA,PORONGABA S,5,1,2,0.017,BAIXA PRESENÇA,216
ATALAIA,SANTO ANTONIO S,5,1,4,0.017,BAIXA PRESENÇA,217
CAPELA,177,5,1,4,0.017,BAIXA PRESENÇA,218
CAPELA,504,5,1,4,0.017,BAIXA PRESENÇA,219
CORURIPE,CENTRO,5,1,5,0.017,BAIXA PRESENÇA,220
JUNQUEIRO,NÃO INFORMADO,5,4,5,0.017,BAIXA PRESENÇA,221
MACEIÓ,1750 - SANTA LUCIA,5,1,2,0.017,BAIXA PRESENÇA,222
MACEIÓ,276,5,1,2,0.017,BAIXA PRESENÇA,223
ARAPIRACA,CANGANDU,4,1,2,0.0136,BAIXA PRESENÇA,224
ARAPIRACA,PAU D ARCO S,4,1,3,0.0136,BAIXA PRESENÇA,225
ATALAIA,BRANCA DE ATALAIA,4,1,4,0.0136,BAIXA PRESENÇA,226
BARRA DE SANTO ANTÔNIO,MUTIRAO,4,1,3,0.0136,BAIXA PRESENÇA,227
CORURIPE,NÃO INFORMADO,4,2,4,0.0136,BAIXA PRESENÇA,228
CRAÍBAS,FOLHA MIUDA,4,1,2,0.0136,BAIXA PRESENÇA,229
FEIRA GRANDE,MASSAPE S,4,1,3,0.0136,BAIXA PRESENÇA,230
FEIRA GRANDE,NÃO INFORMADO,4,2,4,0.0136,BAIXA PRESENÇA,231
MACEIÓ,JARDIM DA SAUDE,4,1,2,0.0136,BAIXA PRESENÇA,232
MARAGOGI,KM 139,4,1,2,0.0136,BAIXA PRESENÇA,233
PALMEIRA DOS ÍNDIOS,KM 03,4,1,1,0.0136,BAIXA PRESENÇA,234
PASSO DE CAMARAGIBE,MARCINEIRO,4,1,2,0.0136,BAIXA PRESENÇA,235
PAULO JACINTO,NÃO INFORMADO,4,2,3,0.0136,BAIXA PRESENÇA,236
PENEDO,LOT SAO JOSE,4,1,3,0.0136,BAIXA PRESENÇA,237
PENEDO,PX. A DELEGACIA DE POLICIA,4,1,2,0.0136,BAIXA PRESENÇA,238
PORTO DE PEDRAS,NÃO INFORMADO,4,2,3,0.0136,BAIXA PRESENÇA,239
SÃO BRÁS,GIRAU DO ITIUBA,4,1,2,0.0136,BAIXA PRESENÇA,240
ARAPIRACA,BAIXA GRANDE DE DENTRO,3,1,2,0.0102,BAIXA PRESENÇA,241
ATALAIA,OURICURI S,3,1,2,0.0102,BAIXA PRESENÇA,242
BARRA DE SANTO ANTÔNIO,DE SANTA LUZIA,3,1,2,0.0102,BAIXA PRESENÇA,243
BOCA DA MATA,CENTRO,3,1,3,0.0102,BAIXA PRESENÇA,244
CAMPO ALEGRE,184,3,1,3,0.0102,BAIXA PRESENÇA,245
CORURIPE,POXIM,3,1,3,0.0102,BAIXA PRESENÇA,246
GIRAU DO PONCIANO,CANAFISTULA DO CIPRIANO,3,1,3,0.0102,BAIXA PRESENÇA,247
JEQUIÁ DA PRAIA,126,3,1,3,0.0102,BAIXA PRESENÇA,248
MACEIÓ,.760,3,1,1,0.0102,BAIXA PRESENÇA,249
MARECHAL DEODORO,ALTINA SN,3,1,3,0.0102,BAIXA PRESENÇA,250
PASSO DE CAMARAGIBE,BOM DESPACHO,3,1,3,0.0102,BAIXA PRESENÇA,251
PAULO JACINTO,SANTA INES,3,1,3,0.0102,BAIXA PRESENÇA,252
PILAR,718,3,1,3,0.0102,BAIXA PRESENÇA,253
PORTO REAL DO COLÉGIO,CANOA DE CIMA SN,3,1,3,0.0102,BAIXA PRESENÇA,254
PORTO REAL DO COLÉGIO,GIRAU DE ITIUBA SN,3,1,2,0.0102,BAIXA PRESENÇA,255
PÃO DE AÇÚCAR,LAGOA DE PEDRA,3,1,2,0.0102,BAIXA PRESENÇA,256
SÃO SEBASTIÃO,DE CANABRAVA,3,2,3,0.0102,BAIXA PRESENÇA,257
BELO MONTE,NÃO INFORMADO,2,2,2,0.0068,BAIXA PRESENÇA,258
CAMPESTRE,NÃO INFORMADO,2,1,2,0.0068,BAIXA PRESENÇA,259
CAMPO ALEGRE,436,2,1,2,0.0068,BAIXA PRESENÇA,260
CAPELA,525,2,1,2,0.0068,BAIXA PRESENÇA,261
CARNEIROS,371,2,1,2,0.0068,BAIXA PRESENÇA,262
CORURIPE,BOTAFOGO,2,1,2,0.0068,BAIXA PRESENÇA,263
DELMIRO GOUVEIA,342,2,1,2,0.0068,BAIXA PRESENÇA,264
DELMIRO GOUVEIA,CARAIBEIRINHAS,2,1,1,0.0068,BAIXA PRESENÇA,265
DELMIRO GOUVEIA,LAGOINHAS S,2,1,2,0.0068,BAIXA PRESENÇA,266
DELMIRO GOUVEIA,SALGADO,2,1,1,0.0068,BAIXA PRESENÇA,267
MACEIÓ,165,2,1,2,0.0068,BAIXA PRESENÇA,268
MACEIÓ,507,2,1,1,0.0068,BAIXA PRESENÇA,269
MARAVILHA,NÃO INFORMADO,2,1,2,0.0068,BAIXA PRESENÇA,270
MATA GRANDE,NÃO INFORMADO,2,2,2,0.0068,BAIXA PRESENÇA,271
PALESTINA,NÃO INFORMADO,2,1,1,0.0068,BAIXA PRESENÇA,272
PALMEIRA DOS ÍNDIOS,CANAFISTULA,2,1,2,0.0068,BAIXA PRESENÇA,273
PARICONHA,NÃO INFORMADO,2,2,2,0.0068,BAIXA PRESENÇA,274
PENEDO,(EM FRENTE AO PENEDENSE),2,1,1,0.0068,BAIXA PRESENÇA,275
PENEDO,EM FRENTE AO SEMEP,2,1,2,0.0068,BAIXA PRESENÇA,276
SANTANA DO IPANEMA,AREIA BRANCA,2,1,1,0.0068,BAIXA PRESENÇA,277
SANTANA DO MUNDAÚ,- CENTRO,2,1,2,0.0068,BAIXA PRESENÇA,278
TEOTÔNIO VILELA,FREI DAMIAO DE BOZZANO,2,1,2,0.0068,BAIXA PRESENÇA,279
ARAPIRACA,CANAA S,1,1,1,0.0034,BAIXA PRESENÇA,280
ARAPIRACA,SAO JOSE S,1,1,1,0.0034,BAIXA PRESENÇA,281
BELÉM,NÃO INFORMADO,1,1,1,0.0034,BAIXA PRESENÇA,282
CACIMBINHAS,NÃO INFORMADO,1,1,1,0.0034,BAIXA PRESENÇA,283
CAMPO ALEGRE,195,1,1,1,0.0034,BAIXA PRESENÇA,284
CORURIPE,PONTAL DO CORURIPE,1,1,1,0.0034,BAIXA PRESENÇA,285
CORURIPE,QUADRA S,1,1,1,0.0034,BAIXA PRESENÇA,286
DOIS RIACHOS,NÃO INFORMADO,1,1,1,0.0034,BAIXA PRESENÇA,287
ESTRELA DE ALAGOAS,NÃO INFORMADO,1,1,1,0.0034,BAIXA PRESENÇA,288
IGREJA NOVA,PERUCABA,1,1,1,0.0034,BAIXA PRESENÇA,289
INHAPI,NÃO INFORMADO,1,1,1,0.0034,BAIXA PRESENÇA,290
JEQUIÁ DA PRAIA,NÃO INFORMADO,1,1,1,0.0034,BAIXA PRESENÇA,291
