ANO_ELEICAO,SG_UF,CD_MUNICIPIO,municipio_original,zona,secao,numero_local_votacao,nome_local_votacao,endereco,regiao_estimada,DS_CARGO,NR_VOTAVEL,NM_VOTAVEL,SQ_CANDIDATO,votos_parceiro
2022,AL,27197,BOCA DA MATA,48,22,1023,ESCOLA JOSEFA CAVALCANTE SURUAGY,"RUA DOM PEDRO II, S/N",NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,1
2022,AL,27758,JOAQUIM GOMES,53,13,1120,ESCOLA ESTADUAL MÁRIO GOMES DE BARROS,RUA PROF. CICERA SANTOS MARINHO 10,NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,11
2022,AL,28673,SÃO JOSÉ DA TAPERA,51,16,1058,ESCOLA ESTADUAL LUCILO JOSÉ RIBEIRO,AV. ELISIO DA SILVA MAIA 736,NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,3
2022,AL,27855,MACEIÓ,54,417,1562,ESCOLA ESTADUAL PROFESSORA GILVANA ATAÍDE CAVALCANTE CABRAL,"RUA ELINELMA DE OLIVEIRA SANTOS, S/N",NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,4
2022,AL,27855,MACEIÓ,2,322,1953,CRECHE ESCOLA ESPAÇO EDUCAR,"RUA PROFESSOR SANDOVAL ARROXELAS, N. 510",. 510,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,1
2022,AL,27855,MACEIÓ,33,66,1031,ESCOLA DE ENSINO FUNDAMENTAL OCTÁVIO BRANDÃO,"RUA JOSE LOBO DE MEDEIROS, S/N",NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,3
2022,AL,27855,MACEIÓ,54,299,1392,ESCOLA MUNICIPAL DE ENSINO BÁSICO FREI DAMIÃO,"AV. MUNDAÚ, N 120",120,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,6
2022,AL,28851,UNIÃO DOS PALMARES,21,400,1929,ESCOLA ESTADUAL CARLOS GOMES DE BARROS,"AV. JOÃO LYRA FILHO, S/N",NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,3
2022,AL,27855,MACEIÓ,2,160,1333,EDIFICIO DO SESC,"RUA PEDRO PAULINO, 40",NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,5
2022,AL,28177,OLHO D ÁGUA GRANDE,37,104,1104,ESCOLA MUNICIPAL FRANCISCO BEZERRA DE ARAÚJO,RUA JORGE DA PAIXÃO VIZINHO AO GINASIO VALDEMAR PUNÇA,NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,23
2022,AL,28851,UNIÃO DOS PALMARES,21,185,1341,COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS,RUA JARDIM BRASILIA,NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,3
2022,AL,27812,LAGOA DA CANOA,44,132,1015,CENTRO ESCOLAR GOVERNADOR LUIZ CAVALCANTE,AV. JOÃO ANGELINO S/N,NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,3
