municipio;ranking_polo_municipal;ranking_polo_geral;local_votacao;endereco_local_votacao;latitude;longitude;bairro;distrito;status_geocodificacao;qtd_secoes;qtd_vereadores;votos_totais;vereador_principal;partido_vereador_principal;votos_vereador_principal;percentual_dominancia;indice_influencia_local;classificacao_local;potencial_agenda_davi
MACEIO;139;259;ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL MARIA DE FÁTIMA MELO;AV MACEIO, 342;-9.6669361;-35.7284605;Jaraguá;;ENCONTRADO;6;42;723;GALBA NOVAIS DE CASTRO NETTO;PL;74;10.24;22.26;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;140;260;COLÉGIO BRASIL (ANTIGO ISAAC NEWTON);RUA FERNANDO MENDES PINTO, N 11;;;;;NAO_ENCONTRADO;5;45;674;TEREZA NELMA PORTO VIANA SOARES;PT;62;9.2;22.18;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;141;261;COLÉGIO SANTA AMÉLIA;RUA D, 11 LOTEAMENTO SANTA AMÉLIA;;;;;NAO_ENCONTRADO;6;39;805;GALBA NOVAIS DE CASTRO NETTO;PL;84;10.43;22.17;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;142;262;ESCOLA ESTADUAL CAPITÃO ÁLVARO VICTOR;PRACA DO CRUZEIRO, S/N;-9.6518488;-35.7612473;Vergel do Lago;;ENCONTRADO;7;35;870;JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR;MDB;118;13.56;22.11;PRIORIDADE NORMAL;MONITORAMENTO
CORURIPE;9;263;ESCOLA MUN. CENT. EDUCAÇÃO INFANTIL PROF. MARIA ZENAIDE ROCHA SANTOS;RUA PERNAMBUCO NOVO, S/N,;;;;;NAO_ENCONTRADO;9;30;920;GUTTENBERG BRÊDA SOBRINHO;MDB;104;11.3;22.1;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;143;264;COLÉGIO ELITE LOTEAMENTO MONTE BELLO;RUA PADRE CÍCERO, 342;-9.5616951;-35.739975;Antares;;ENCONTRADO;5;44;687;TEREZA NELMA PORTO VIANA SOARES;PT;57;8.3;22.02;PRIORIDADE NORMAL;MONITORAMENTO
UNIAO DOS PALMARES;12;265;ESCOLA ESTADUAL PAULO SARMENTO;RUA SENADOR RUI PALMEIRA, S/N;-9.1570546;-36.0247513;União dos Palmares;;ENCONTRADO;4;45;706;EMANUEL GOMES BALBINO;MDB;62;8.78;22.01;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;144;266;ESCOLA EST. PROFª ADEILZA MARIA OLIVEIRA;RUA DO CAMPO, S/N;-9.6200657;-35.6940737;Jacarecica;;ENCONTRADO;7;35;852;FRANCISCO HOLANDA COSTA FILHO;PL;126;14.79;21.94;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;145;267;ESCOLA SESI/SENAI;AV. ANTÔNIO LISBOA DE AMORIM, 1751;-9.5513964;-35.7347123;Benedito Bentes;;ENCONTRADO;5;39;829;JOSE SIDERLANE ARAUJO DE MENDONCA;PL;96;11.58;21.92;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;146;268;ESCOLA ESTADUAL MARIA AMÁLIA;RUA VALDEMAR RUFINO DOS SANTOS, S/N,VILA ABC;;;;;NAO_ENCONTRADO;6;28;1113;JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR;MDB;509;45.73;21.91;PRIORIDADE NORMAL;AGENDA RECOMENDADA
UNIAO DOS PALMARES;13;269;ESCOLA DE ENSINO FUNDAMENTAL FILOMENA MEDEIROS;RUA EDGAR SARMENTO, 217;-9.1631868;-36.0315847;União dos Palmares;;ENCONTRADO;5;40;798;EDMILTON RODRIGUES DA SILVA;MDB;66;8.27;21.91;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;147;270;SEST/SENAT;AV. DEP. CÉSAR ESUSTÁQUIO MALTA, 500;;;;;NAO_ENCONTRADO;6;39;769;LEONARDO DA FONSECA DIAS;PL;60;7.8;21.82;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;148;271;ESCOLA ESTADUAL THOMAZ ESPÍNDOLA;RUA VEREADOR JOSÉ DE CALDAS, S/N;-9.6585647;-35.7508753;Ponta Grossa;;ENCONTRADO;6;39;755;JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR;MDB;96;12.72;21.69;PRIORIDADE NORMAL;MONITORAMENTO
RIO LARGO;21;272;ESCOLA ESTADUAL JOÃO MORAIS CAVALCANTE;R. DO MATADOURO, CJ HAB JOSE FERNANDES TORRES, CJ MUTIRÃO;;;;;NAO_ENCONTRADO;5;47;555;MÁRCIO SOARES CAVALCANTE;PP;69;12.43;21.62;PRIORIDADE NORMAL;MONITORAMENTO
DELMIRO GOUVEIA;3;273;VICENTE DE MENEZES, ESCOLA DE 1 E 2 GRAUS;RUA 21 DE ABRIL, S/N;-9.382029;-38.0005171;Eldorado;;ENCONTRADO;12;18;1073;EDNA GOMES BERNARDO;MDB;178;16.59;21.51;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;149;274;ESCOLA DE ENSINO FUNDAMENTAL PROF. SUZEL DANTAS;RUA ANTONIO MONTEIRO DE CARVALHO, S/N;-9.5935498;-35.7681296;Tabuleiros dos Martins;;ENCONTRADO;5;37;837;JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR;MDB;122;14.58;21.41;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;150;275;COLEGIO ATHENEU;ESTRADA DA CODEAL, 33;;;;;NAO_ENCONTRADO;5;40;737;MARIA DE FÁTIMA GALINA FORTES FERREIRA SANTIAGO;MDB;91;12.35;21.32;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;151;276;ESCOLA ESTADUAL DR. JÚLIO AUTO;CONJUNTO JOAQUIM LEAO, S/N;;;;;NAO_ENCONTRADO;6;37;768;SILVANIA BATINGA DE OLIVEIRA BARBOSA;SOLIDARIEDADE;91;11.85;21.23;PRIORIDADE NORMAL;MONITORAMENTO
RIO LARGO;22;277;GRUPO ESCOLAR ODILO ALVARES DE SOUZA;AV MUNIZ FALCAO SN;;;;;NAO_ENCONTRADO;4;44;650;JEFFERSON ALEXANDRE CAVALCANTE;AVANTE;79;12.15;21.17;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;152;278;ESCOLA ESTADUAL TAVARES BASTOS;PRAÇA CENTENÁRIO, S/N;;;;;NAO_ENCONTRADO;5;42;659;JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR;MDB;82;12.44;21.16;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;153;279;ESC. EST. PROF. EDUARDO ALMEIDA DA SILVA;RUA SAO PEDRO, S/N;-9.5251247;-35.6115964;Ipioca;;ENCONTRADO;5;34;894;KELMANN VIEIRA DE OLIVEIRA;MDB;186;20.81;21.07;PRIORIDADE NORMAL;MONITORAMENTO
RIO LARGO;23;280;CRECHE MUNICIPAL CELYRIO ADAMASTOR BARRETO ACIOLY;ROD AL 210, CJ EDSON NOVAES S/N;;;;;NAO_ENCONTRADO;7;39;640;JOSÉ ROGÉRIO DA SILVA;PP;211;32.97;21.07;PRIORIDADE NORMAL;MONITORAMENTO
CORURIPE;10;281;ESCOLA MUNICIPAL MANOEL CECÍLIO DE JESUS;RUA DO JASMIM,;;;;;NAO_ENCONTRADO;6;31;925;GUTTENBERG BRÊDA SOBRINHO;MDB;113;12.22;20.98;PRIORIDADE NORMAL;MONITORAMENTO
MARECHAL DEODORO;8;282;ESCOLA ESTADUAL DEODORO DA FONSECA;PRACA PEDRO PAULINO SN;;;;;NAO_ENCONTRADO;7;31;870;EVERALDO PEREIRA LOPES JUNIOR;PSB;109;12.53;20.93;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;154;283;CEAGB - ESCOLA ESTADUAL DOM PEDRO II;AV. FERNANDES LIMA, S/N;-9.6219993;-35.7387664;Gruta de Lourdes;;ENCONTRADO;5;43;601;TEREZA NELMA PORTO VIANA SOARES;PT;47;7.82;20.89;PRIORIDADE NORMAL;MONITORAMENTO
PENEDO;6;284;COOPERATIVA EDUCACIONAL DE PENEDO - COOPEPE LTDA;PARQUE DR. ADAIL FREIRE PEREIRA, 127 (PRAÇA SANTA LUZIA);;;;;NAO_ENCONTRADO;9;27;882;ANTONIO DE FIGUEIREDO BARBOSA JUNIOR;PSB;103;11.68;20.85;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;155;285;INSTITUTO FEDERAL DE ALAGOAS - IFAL (ANTIGO CEFET);RUA MIZAEL DOMINGUES, N 530;-9.6653779;-35.7309741;Centro;;ENCONTRADO;5;43;594;LEONARDO DA FONSECA DIAS;PL;67;11.28;20.82;PRIORIDADE NORMAL;MONITORAMENTO
MARECHAL DEODORO;9;286;ESCOLA MUNICIPAL CARLOS AVELINO DA SILVA;RES MARIA GISLENE MATHEUS, S/N;;;;;NAO_ENCONTRADO;6;26;1055;EVERALDO PEREIRA LOPES JUNIOR;PSB;145;13.74;20.76;PRIORIDADE NORMAL;AGENDA RECOMENDADA
SAO MIGUEL DOS CAMPOS;8;287;ESCOLA DE 1 E 2 GRAUS NUNILA MACHADO;VISCONDE DE SINIMBU, 182;;;;;NAO_ENCONTRADO;5;27;1073;JOSIVALDO JOSÉ DA SILVA;PDT;145;13.51;20.74;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;156;288;COLÉGIO CRISTO REI;RUA CLAUDIO LIVIO, 83;-9.6468277;-35.73761;Farol;;ENCONTRADO;5;41;644;TEREZA NELMA PORTO VIANA SOARES;PT;60;9.32;20.72;PRIORIDADE NORMAL;MONITORAMENTO
RIO LARGO;24;289;ESCOLA DE EDUCAÇÃO INFANTIL AQUINO JAPIASSÚ;VILA MARÍLIA;;;;;NAO_ENCONTRADO;4;43;630;MÁRCIO SOARES CAVALCANTE;PP;71;11.27;20.68;PRIORIDADE NORMAL;MONITORAMENTO
PALMEIRA DOS INDIOS;11;290;INSTITUTO FEDERAL DE ALAGOAS - IFAL;PALMEIRA DE FORA;-9.4041909;-36.6549701;Vila João XXIII;;ENCONTRADO;6;29;949;FABIANO GOMES DE SOUZA;REPUBLICANOS;147;15.49;20.62;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;157;291;CMEI GRACILIANO RAMOS;AV. JOSE HAILTON DOS SANTOS, 471;-9.5528028;-35.7632553;Graciliano Ramos;;ENCONTRADO;4;39;744;LUCIANO MARINHO DA SILVA;PL;321;43.15;20.61;PRIORIDADE NORMAL;MONITORAMENTO
SAO MIGUEL DOS CAMPOS;9;292;ESCOLA DE ENSINO SUPERIOR DE SAO MIGUEL DOS CAMPOS;PRACA SENHORA DOS PRAZERES, SN;;;;;NAO_ENCONTRADO;6;27;1005;JOSIVALDO JOSÉ DA SILVA;PDT;97;9.65;20.57;PRIORIDADE NORMAL;AGENDA RECOMENDADA
RIO LARGO;25;293;ESCOLA DE EDUCAÇÃO INFANTIL PADRE PAULINO;CONJUNTO MUTIRÃO;;;;;NAO_ENCONTRADO;5;42;590;IZAQUE PEREIRA SILVA;AVANTE;71;12.03;20.49;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;158;294;COLÉGIO SANTA AMÉLIA GRUTA;RUA EURICO ACYOLE WANDERLEY, N 804;-9.6196041;-35.7308553;Gruta de Lourdes;;ENCONTRADO;5;43;559;TEREZA NELMA PORTO VIANA SOARES;PT;75;13.42;20.48;PRIORIDADE NORMAL;MONITORAMENTO
SAO MIGUEL DOS CAMPOS;10;295;ESCOLA DE EDUCAÇÃO BÁSICA CONSTRUTIVISTA;RUA PROJETADA, 16;;;;;NAO_ENCONTRADO;8;24;985;DINEY SOARES TORRES NETO;MDB;101;10.25;20.47;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;159;296;ESC. DE ENSINO FUND. PROF. ANTÍDIO VIEIRA;RUA DR PAULO NETO, S/N;-9.6760815;-35.7597408;Trapiche da Barra;;ENCONTRADO;6;39;624;SILVANIA BATINGA DE OLIVEIRA BARBOSA;SOLIDARIEDADE;134;21.47;20.42;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;160;297;EDIFÍCIO DO SENAC;AV. PEDRO PAULINO, 77;;;;;NAO_ENCONTRADO;5;40;635;DAVID CABRAL DAVINO;PP;56;8.82;20.34;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;161;298;E.M. SILVIA CELINA NUNES LIMA;RUA BENEDITO CALAÇA LOUREIRO, 2001;-9.5452792;-35.7576376;Cidade Universitária;;ENCONTRADO;4;38;741;LUCIANO MARINHO DA SILVA;PL;301;40.62;20.28;PRIORIDADE NORMAL;MONITORAMENTO
CORURIPE;11;299;ESCOLA MUNICIPAL FRANCISCO AMALIO MARIA;RUA DO CAJUEIRO, S/N;-10.1585695;-36.135133;Coruripe;;ENCONTRADO;7;24;1014;ADGER DA ROCHA MARIA JUNIOR;PP;241;23.77;20.27;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;162;300;ESCOLA DE EDUCAÇÃO BÁSICA ATUAL;RUA ZACARIAS FONTAN DE MELO, 03;-9.5724969;-35.7540943;Santa Lúcia;;ENCONTRADO;3;43;630;FRANCISCO HOLANDA COSTA FILHO;PL;86;13.65;20.2;PRIORIDADE NORMAL;MONITORAMENTO
MARECHAL DEODORO;10;301;ESCOLA MUNICIPAL DR. CLÁUDIO ROBERTO COSTA DOS SANTOS;AV BENEDITO AGNELO DE LIMA SN;-9.7408231;-35.882999;Barro Vermelho;;ENCONTRADO;6;28;932;NILSON DO NASCIMENTO SANTOS;PSB;177;18.99;20.16;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;163;302;E.M. LUIZ PEDRO DA SILVA;RUA DEPUTADO JOSÉ BERNARDES, 10;-9.6113055;-35.7580209;Petrópolis;;ENCONTRADO;4;38;726;DAVID CABRAL DAVINO;PP;67;9.23;20.14;PRIORIDADE NORMAL;MONITORAMENTO
UNIAO DOS PALMARES;14;303;CRECHE MUNICIPAL TIA SUZETE;CONJUNTO NOVA ESPERANÇA;;;;;NAO_ENCONTRADO;4;39;694;EDMILTON RODRIGUES DA SILVA;MDB;58;8.36;20.12;PRIORIDADE NORMAL;MONITORAMENTO
DELMIRO GOUVEIA;4;304;FRANCISCA ROSA DA COSTA,GRUPO ESCOLAR;RUA SARGENTO REGINALDO BANDEIRA, 342;;;;;NAO_ENCONTRADO;8;18;1120;MAREVAL FERREIRA DA SILVA;MDB;245;21.88;20.01;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;164;305;ESC. MUN. PIO X (PRÉDIO DO ANTIGO COL.SAGRADA FAMÍLIA);RUA PROFESSORA ZEZE LOUREIRO, 200;;;;;NAO_ENCONTRADO;5;40;594;JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR;MDB;60;10.1;19.94;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;165;306;ESCOLA SANTA ROSA;TRAV FIRMINO DE VASCONCELOS, 100;;;;;NAO_ENCONTRADO;5;37;680;KELMANN VIEIRA DE OLIVEIRA;MDB;83;12.21;19.89;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;166;307;ESCOLA MUNICIPAL TEREZA DE JESUS;RUA SARGENTO JAIME, 75;-9.6701618;-35.7460477;Prado;;ENCONTRADO;5;39;617;JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR;MDB;101;16.37;19.87;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;167;308;ESC. EST. JORNALISTA RAUL LIMA;RUA DA IGREJA, S/N;-9.5782165;-35.8110395;Rio Novo;;ENCONTRADO;5;34;768;KELMANN VIEIRA DE OLIVEIRA;MDB;197;25.65;19.86;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;168;309;CAIC-ESCOLA ESTADUAL MARIA RITA LYRA DE ALMEIDA;AV. SENADOR RUI PALMEIRA, S/N;-9.6660089;-35.7642836;Trapiche da Barra;;ENCONTRADO;6;34;712;SILVANIA BATINGA DE OLIVEIRA BARBOSA;SOLIDARIEDADE;172;24.16;19.8;PRIORIDADE NORMAL;MONITORAMENTO
SAO MIGUEL DOS CAMPOS;11;310;ESCOLA MUNICIPAL DIONISIA APRATTO TENORIO;AV. PREFEITO PEDRO FERNANDES, S/N;;;;;NAO_ENCONTRADO;8;26;844;DINEY SOARES TORRES NETO;MDB;107;12.68;19.7;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;169;311;ESCOLA DE ENSINO FUNDAMENTAL PROFº PAULO FREIRE;AV JOSÉ AIRTON GONDIM LAMENHA SN;-9.6097231;-35.6985696;São Jorge;;ENCONTRADO;4;41;587;MARCELO PALMEIRA CAVALCANTE;PL;87;14.82;19.68;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;170;312;COLÉGIO VILA RICA;TV. MENINO MARCELO 99 A;-9.595482;-35.7200645;Serraria;;ENCONTRADO;4;40;615;TEREZA NELMA PORTO VIANA SOARES;PT;48;7.8;19.66;PRIORIDADE NORMAL;MONITORAMENTO
UNIAO DOS PALMARES;15;313;ESCOLA DE ENSINO FUNDAMENTAL FERNANDO JUAZEIRO;AV. DR. HERMANO PLECH 488;;;;;NAO_ENCONTRADO;4;38;672;ALMIR BELARMINO DA SILVA;PDT;58;8.63;19.62;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;171;314;EDUCANDÁRIO EUNICE WEAVER;AV. GUSTAVO PAIVA, 2359;-9.6478561;-35.7147108;Mangabeiras;;ENCONTRADO;5;41;523;TEREZA NELMA PORTO VIANA SOARES;PT;57;10.9;19.55;PRIORIDADE NORMAL;MONITORAMENTO
MARECHAL DEODORO;11;315;NEI TÂNIA CAVALCANTE;AV CATUÇABA SN;-9.7256884;-35.8193626;Marechal Deodoro;;ENCONTRADO;6;24;979;GILBERTO MEDEIROS SILVA;PDT;385;39.33;19.44;PRIORIDADE NORMAL;MONITORAMENTO
DELMIRO GOUVEIA;5;316;LUIZ AUGUSTO DE AZEVEDO, ESCOLA;RUA NASCIMENTO BANDEIRA S/N;-9.3852148;-38.0003117;Eldorado;;ENCONTRADO;9;18;1004;MARCOS ANTONIO SILVA;MDB;171;17.03;19.38;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;172;317;ESC. EST. PROFª ANA COELHO PALMEIRA;CONJ. ALFREDO GASPAR DE MENDONCA, S/N;;;;;NAO_ENCONTRADO;4;39;612;KELMANN VIEIRA DE OLIVEIRA;MDB;103;16.83;19.33;PRIORIDADE NORMAL;MONITORAMENTO
MARECHAL DEODORO;12;318;NEI ADÉLIA CAVALCANTE COSTA;RUA DOS CAJUEIROS;;;;;NAO_ENCONTRADO;5;28;887;THIAGO HENRIQUE GONDIN TORRES;PDT;111;12.51;19.24;PRIORIDADE NORMAL;MONITORAMENTO
MARECHAL DEODORO;13;319;ESCOLA MUNICIPAL DR. JOVINIANO DE ALMEIDA RODAS;RUA SAO PEDRO SN;-9.7219612;-35.893125;Barro Vermelho;;ENCONTRADO;6;31;744;THIAGO HENRIQUE GONDIN TORRES;PDT;92;12.37;19.23;PRIORIDADE NORMAL;MONITORAMENTO
DELMIRO GOUVEIA;6;320;AFRANIO SALGADO LAGES, ESCOLA;TRAVESSA NASCIMENTO BANDEIRA, S/N;-9.3843265;-38.0002215;Eldorado;;ENCONTRADO;8;17;1067;MAREVAL FERREIRA DA SILVA;MDB;201;18.84;19.21;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;173;321;INSS;AV. DONA CONSTANCIA DE GOES MONTEIRO, S/N;;;;;NAO_ENCONTRADO;4;43;467;JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR;MDB;45;9.64;19.11;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;174;322;ESCOLA MUN. PROF. DERALDO CAMPOS;RUA TENENTE MOISÉS S. FIRMINO, S/N;;;;;NAO_ENCONTRADO;4;42;495;JONATAS JOSE OLIVEIRA DE OMENA;PL;67;13.54;19.08;PRIORIDADE NORMAL;MONITORAMENTO
PALMEIRA DOS INDIOS;12;323;GRUPO ESCOLAR ANTÔNIA MACEDO;RUA CEL ANTÔNIO PANTALEÃO SN;;;;;NAO_ENCONTRADO;5;28;864;PEDRO RODRIGUES GAIA BISNETO;MDB;120;13.89;19.02;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;175;324;SEDE DO SOPÃO SOPROBEM;RUA DR. OSWALDO CRUZ, S/N;-9.6214949;-35.7555418;Chã de Bebedouro;;ENCONTRADO;6;38;487;MARCELO PALMEIRA CAVALCANTE;PL;49;10.06;18.81;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;176;325;CMEI HERBERT DE SOUZA;ROD. AL 101 NORTE, S/N;;;;;NAO_ENCONTRADO;4;37;618;KELMANN VIEIRA DE OLIVEIRA;MDB;137;22.17;18.8;PRIORIDADE NORMAL;MONITORAMENTO
CORURIPE;12;326;CENTRO EDUCACIONAL PROFISSIONAL MARIA ALICE BELTRÃO DE CASTRO SIQUEIRA;RUA PERNAMBUCO NOVO;;;;;NAO_ENCONTRADO;7;23;887;JOSÉ MAURÍCIO DOS SANTOS;MDB;110;12.4;18.75;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;177;327;GRUPO ESCOLAR ANTÔNIO VASCO;PRACA JOSE EMIDIO DE CARVALHO, S/N;;;;;NAO_ENCONTRADO;3;35;723;GALBA NOVAIS DE CASTRO NETTO;PL;167;23.1;18.74;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;178;328;COLÉGIO LEONARDO DA VINCI  ( ANTIGO PRÍNCIPE DA PAZ);RUA XAVIER DE BRITO, 891;-9.6676209;-35.7488513;Prado;;ENCONTRADO;4;38;576;JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR;MDB;81;14.06;18.69;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;179;329;ESCOLA DE ENSINO FUNDAMENTAL DOM HELDER CÂMARA;RUA ACRE, S/N;-9.6439982;-35.7289406;Feitosa;;ENCONTRADO;4;35;653;CLAUDIO MOREIRA DA SILVA;PL;222;34.0;18.55;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;180;330;ESCOLA PADRE PIERRE VIGNE;RUA JOEL VIEIRA DOS ANJOS 358;-9.6279409;-35.7205749;Feitosa;;ENCONTRADO;4;40;499;CLAUDIO MOREIRA DA SILVA;PL;58;11.62;18.54;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;181;331;ESCOLA ESTADUAL JOSÉ OLIVEIRA SILVA;RUA JARDIM ESPERANCA, S/N;-9.6574902;-35.7527274;Ponta Grossa;;ENCONTRADO;4;39;528;JONATAS JOSE OLIVEIRA DE OMENA;PL;70;13.26;18.52;PRIORIDADE NORMAL;MONITORAMENTO
PENEDO;7;332;EMEB VEREADOR JOSÉ DA COSTA MANGABEIRA;RUA F, LOTEAMENTO SÃO GONÇALO, SN;;;;;NAO_ENCONTRADO;6;26;811;DERIVAN THOMAZ;PV;83;10.23;18.41;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;182;333;ESCOLA MUN. DOM MIGUEL FENELON CÂMARA;LOTEAMENTO JARDIM PETROPOLIS II, SN, QD 26;;;;;NAO_ENCONTRADO;4;37;564;FRANCISCO HOLANDA COSTA FILHO;PL;91;16.13;18.28;PRIORIDADE NORMAL;MONITORAMENTO
MARECHAL DEODORO;14;334;ESCOLA MUNICIPAL JOSÉ BISPO DA SILVA;AV. CATUÇABA, S/N;-9.7180783;-35.8235422;Marechal Deodoro;;ENCONTRADO;5;23;940;GILBERTO MEDEIROS SILVA;PDT;331;35.21;18.28;PRIORIDADE NORMAL;MONITORAMENTO
SAO MIGUEL DOS CAMPOS;12;335;ESCOLA MUNICIPAL PROFESSORA NOEMIA BASTOS;AVENIDA VERA CRUZ, 111;-9.7832594;-36.0919014;Centro;;ENCONTRADO;5;27;818;DINEY SOARES TORRES NETO;MDB;85;10.39;18.28;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;183;336;ESCOLA DE IDIOMAS YES ALDEBARAN (ANTIGO COND. ALDEBARAN);RUA DEP. ARMANDO MOREIRA SOARES, N 210;-9.5922898;-35.739578;Antares;;ENCONTRADO;4;38;523;LEONARDO DA FONSECA DIAS;PL;87;16.63;18.18;PRIORIDADE NORMAL;MONITORAMENTO
SAO MIGUEL DOS CAMPOS;13;337;CRECHE JOSEFA BENEDITA DOS SANTOS;AVENIDA PEDRO FERNANDES DE COSTA;;;;;NAO_ENCONTRADO;7;28;671;DINEY SOARES TORRES NETO;MDB;78;11.62;18.13;PRIORIDADE NORMAL;MONITORAMENTO
CORURIPE;13;338;ESCOLA MUNICIPAL GENERAL DE GOIS MONTEIRO;RUA ABELARDO HOLANDA, 105;;;;;NAO_ENCONTRADO;5;20;1015;HUGO BELTRÃO NUNES;MDB;504;49.66;18.12;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;184;339;COLÉGIO DA IMACULADA CONCEIÇÃO;AV. DR. ANTÔNIO GOUVEIA, 507;-9.6690408;-35.7150374;Pajuçara;;ENCONTRADO;5;36;526;LEONARDO DA FONSECA DIAS;PL;92;17.49;18.11;PRIORIDADE NORMAL;MONITORAMENTO
SAO MIGUEL DOS CAMPOS;14;340;COLÉGIO MUNICIPAL ESTHER SOARES TORRES;AVENIDA PREFEITO PEDRO FERNANDES DA COSTA, S/N;;;;;NAO_ENCONTRADO;7;26;725;DINEY SOARES TORRES NETO;MDB;111;15.31;18.06;PRIORIDADE NORMAL;MONITORAMENTO
DELMIRO GOUVEIA;7;341;MARIA DULCE FEITOSA,ESCOLA DE 1 GRAU;RUA BATISTA WANDERLEY, SN;-9.3744784;-37.9999685;Eldorado;;ENCONTRADO;8;17;939;EDNA GOMES BERNARDO;MDB;136;14.48;17.97;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;185;342;E.E. AQUILINA BULHÕES BARROS;RUA HENRIQUE FRANCISCO BULHÕES, 14 QD C;;;;;NAO_ENCONTRADO;4;36;559;JOSE SIDERLANE ARAUJO DE MENDONCA;PL;98;17.53;17.94;PRIORIDADE NORMAL;MONITORAMENTO
MARECHAL DEODORO;15;343;ESCOLA MUNICIPAL D. MARIA DE ARAUJO LOBO;BECO DA BARRA;-9.7353584;-35.8906491;Barro Vermelho;;ENCONTRADO;5;28;740;AUGUSTO JORGE GRANJEIRO COSTA CARNAÚBA;MDB;83;11.22;17.82;PRIORIDADE NORMAL;MONITORAMENTO
RIO LARGO;26;344;CMEI DESEMBARGADOR FRANCISCO WILDO LACERDA DANTAS;CJ ANTONIO LINS DE SOUSA , QD6, MATA DO ROLO;;;;;NAO_ENCONTRADO;3;38;536;JOSÉ ROGÉRIO DA SILVA;PP;70;13.06;17.82;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;186;345;ESCOLA MUN. CLAUDINETE BATISTA;RUA ARY PITOMBO, N 290;-9.673615;-35.7569601;Trapiche da Barra;;ENCONTRADO;4;37;507;JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR;MDB;47;9.27;17.73;PRIORIDADE NORMAL;MONITORAMENTO
DELMIRO GOUVEIA;8;346;ESCOLA JOSE BEZERRA DA SILVA;RUA JOANA ANGELICA S/N;-9.3867333;-37.9880888;Eldorado;;ENCONTRADO;8;18;879;EDNA GOMES BERNARDO;MDB;112;12.74;17.69;PRIORIDADE NORMAL;MONITORAMENTO
MARECHAL DEODORO;16;347;NEI MARIA IRENE DA SILVA;AV VIOLETA SN RD DENISSON AMORIM;;;;;NAO_ENCONTRADO;5;26;782;NILSON DO NASCIMENTO SANTOS;PSB;123;15.73;17.64;PRIORIDADE NORMAL;MONITORAMENTO
