municipio,local_sem_geo,local_sem_geo_normalizado,registros_afetados,melhor_local_cache,melhor_endereco_cache,score_similaridade,status_match,latitude_sugerida,longitude_sugerida
RIO LARGO,ESCOLA MUNICIPAL DE ENSINO F. PROFESSOR JOSÉ EDMILSON,ESCOLA MUNICIPAL DE ENSINO F PROFESSOR JOSE EDMILSON,211,ESCOLA MUNICIPAL DE ENSINO F. PROFESSOR JOSE EDMILSON,"COJ NAPOLEAO VIANA,S/N, BAR NOSSO, PREF ANTONIO LINS DE SOUZA",1.0,MATCH_FORTE,,
MACEIO,E.M. TRADUTOR JOÃO SAMPAIO,ESCOLA MUNICIPAL TRADUTOR JOAO SAMPAIO,209,E.M. TRADUTOR JOAO SAMPAIO,"PRACA CENTRAL, S/N, CONJ. JOAO SAMPAIO I",1.0,MATCH_FORTE,,
MACEIO,ESCOLA MUN. SÉRGIO LUIZ PESSOA BRAGA,ESCOLA MUNICIPAL SERGIO LUIZ PESSOA BRAGA,205,ESCOLA MUN. SERGIO LUIZ PESSOA BRAGA,"PRACA GOVERNADOR LAMENHA FILHO, S/N",1.0,MATCH_FORTE,,
MACEIO,COLÉGIO SAGRADA FAMILIA,COLEGIO SAGRADA FAMILIA,203,COLEGIO SAGRADA FAMILIA,"RUA ALAMEDA MARIA DAS GRACAS NOVAES BRANDAO VILELA, 07",1.0,MATCH_FORTE,,
ARAPIRACA,ANEXO ESCOLA JAYME DE ALTAVILLA,ANEXO ESCOLA JAYME DE ALTAVILLA,203,ANEXO ESCOLA JAYME DE ALTAVILLA,AV. MIGUEL CORREIA S/N,1.0,MATCH_FORTE,,
CORURIPE,ESCOLA MUN. EDUC. BÁSICA PROF. MARIA ROCHA SANTOS SILVA,ESCOLA MUNICIPAL EDUC BASICA PROFESSOR MARIA ROCHA SANTOS SILVA,198,ESCOLA MUN. EDUC. BASICA PROF. MARIA ROCHA SANTOS SILVA,"TRAVESSA FLAMENGO, 182, QUADRA S",1.0,MATCH_FORTE,,
ARAPIRACA,ESCOLA LINDAUVA EULÁLIA DE FARIAS,ESCOLA LINDAUVA EULALIA DE FARIAS,197,ESCOLA LINDAUVA EULALIA DE FARIAS,POVOADO BAIXA GRANDE DE DENTRO,1.0,MATCH_FORTE,,
ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL VOLUNTÁRIA MARIA DAS NEVES BORGES,ESCOLA DE ENSINO FUNDAMENTAL VOLUNTARIA MARIA DAS NEVES BORGES,196,ESCOLA DE ENSINO FUNDAMENTAL VOLUNTARIA MARIA DAS NEVES BORGES,"RUA SINESIO FERREIRA LIMA, N 383, OURO PRETO",1.0,MATCH_FORTE,,
MACEIO,ESC. DE ENS. FUND. PROF. ALMEIDA LEITE,ESCOLA DE ENSINO FUNDAMENTAL PROFESSOR ALMEIDA LEITE,194,ESC. DE ENS. FUND. PROF. ALMEIDA LEITE,"RUA DR. VIRGILIO GUEDES, S/N",1.0,MATCH_FORTE,,
MACEIO,ESCOLA MUNICIPAL PROFESSORA JAREDE VIANA DE OLIVEIRA,ESCOLA MUNICIPAL PROFESSORA JAREDE VIANA DE OLIVEIRA,194,ESCOLA MUNICIPAL PROFESSORA JAREDE VIANA DE OLIVEIRA,"RUA SAO JOSE, S/N, AO LADO DA ESCOLA MUNICIPAL TOBIAS GRANJA",1.0,MATCH_FORTE,,
MACEIO,SEST/SENAT,SEST SENAT,193,SEST/SENAT,"AV. DEP. CESAR ESUSTAQUIO MALTA, 500",1.0,MATCH_FORTE,,
MACEIO,COLÉGIO SANTA AMÉLIA,COLEGIO SANTA AMELIA,193,COLEGIO SANTA AMELIA,"RUA D, 11 LOTEAMENTO SANTA AMELIA",1.0,MATCH_FORTE,,
MACEIO,ESCOLA DE ENSINO FUNDAMENTAL CLETO MARQUES LUZ,ESCOLA DE ENSINO FUNDAMENTAL CLETO MARQUES LUZ,190,ESCOLA DE ENSINO FUNDAMENTAL CLETO MARQUES LUZ,"RUA P, LOT COLINA DOS EUCALIPTOS",1.0,MATCH_FORTE,,
MACEIO,E.M. PROFA. HÉVIA VALÉRIA MAIA AMORIM,ESCOLA MUNICIPAL PROFESSORA HEVIA VALERIA MAIA AMORIM,189,E.M. PROFA. HEVIA VALERIA MAIA AMORIM,"AV JOSE AILTON DOS SANTOS, S/N, VILAGE CAMPESTRE I",1.0,MATCH_FORTE,,
MACEIO,E.M. MARIA DE LOURDES DE MELO PIMENTEL,ESCOLA MUNICIPAL MARIA DE LOURDES DE MELO PIMENTEL,189,E.M. MARIA DE LOURDES DE MELO PIMENTEL,"RUA PADRE CICERO, 05, VILAGE CAMPESTE II",1.0,MATCH_FORTE,,
