_municipio_norm,_local_norm,municipio,local_votacao,qtd_registros_afetados
RIO LARGO,ANTIGA ESCOLA FRANCISCO LEAO DO CENTRO,RIO LARGO,ANTIGA ESCOLA FRANCISCO LEÃO DO CENTRO,187
MACEIO,ESCOLA MUNICIPAL SILVESTRE PERICLES,MACEIO,ESCOLA MUN. SILVESTRE PÉRICLES,184
DELMIRO GOUVEIA,VIRGILIA BEZERRA ESCOLA DE 1 E 2 GRAUS PROFESSORA,DELMIRO GOUVEIA,"VIRGILIA BEZERRA,ESCOLA DE 1 E 2 GRAUS PROFESSORA",177
PENEDO,COOPERATIVA EDUCACIONAL DE PENEDO COOPEPE LTDA,PENEDO,COOPERATIVA EDUCACIONAL DE PENEDO - COOPEPE LTDA,175
MACEIO,COLEGIO ATHENEU,MACEIO,COLEGIO ATHENEU,172
ARAPIRACA,ESCOLAR ANA BERNARDES SILVEIRA,ARAPIRACA,ESCOLAR ANA BERNARDES SILVEIRA,171
CORURIPE,ESCOLA ESTADUAL DEPUTADO JOAO BELTRAO,CORURIPE,ESCOLA ESTADUAL DEPUTADO JOÃO BELTRÃO,171
MACEIO,ESCOLA ESTADUAL TAVARES BASTOS,MACEIO,ESCOLA ESTADUAL TAVARES BASTOS,169
MARECHAL DEODORO,ESCOLA MUNICIPAL ALTINA RIBEIRO TOLEDO,MARECHAL DEODORO,ESCOLA MUNICIPAL ALTINA RIBEIRO TOLEDO,168
MACEIO,ESCOLA ESTADUAL DOUTOR JULIO AUTO,MACEIO,ESCOLA ESTADUAL DR. JÚLIO AUTO,168
RIO LARGO,ESCOLA PREFEITO WALTER DORIA DE FIGUEIREDO,RIO LARGO,ESCOLA PREFEITO WALTER DORIA DE FIGUEIREDO,166
MARECHAL DEODORO,ESCOLA ESTADUAL JOSE CORREIA DA SILVA TITARA,MARECHAL DEODORO,ESCOLA ESTADUAL JOSÉ CORREIA DA SILVA TITARA,165
MACEIO,ESCOLA ESTADUAL MANUEL BALTAZAR P DIEGUES JUNIOR,MACEIO,E.E. MANUEL BALTAZAR P. DIEGUES JUNIOR,164
RIO LARGO,ESCOLA ESTADUAL TABULEIRO DO PINTO,RIO LARGO,ESCOLA ESTADUAL TABULEIRO DO PINTO,162
